End Products
Sample,Barcode,"",Glucose Avg(g/L),Xylose Avg(g/L),Pyruvate Avg(g/L),Xylitol Avg(g/L),Succinate Avg(g/L),Lactate Avg(g/L),Glycerol Avg(g/L),Formate Avg(g/L),Acetate Avg(g/L),Ethanol Avg(g/L),Cellobiose Avg(g/L)
20200121-t-160,I0047530,T0052419,0.1103101664,0.1940655445,0.0,0.0,0.0,0.1405491216,1.2526183099,0.0,0.0,5.7643788326,0.0
20200121-f-160,I0047798,T0052420,0.0,0.194973831,0.0,0.0,0.0,0.0,0.9577553389,0.0,0.11623342796,3.6416980542,0.0
20200121-t-161,I0047508,T0052470,0.0,0.2051331281,0.0,0.0,0.0,0.1286270336,0.3164111101,0.0,0.0,4.6864002629,0.0
20200121-f-161,I0047689,T0052459,1.0362028512,0.0,0.0,0.0,0.0,0.1281496096,0.2967802848,0.723232566,0.0,0.7877149954,0.0
20200121-t-162,I0047654,T0052460,0.0,0.1907731936,0.0,0.0,0.0,0.1918424752,0.6142191193,0.0,0.0,3.5958795964,0.0
20200121-f-162,I0047470,T0052449,0.0,0.1952455663,0.0,0.0,0.0,0.1274037472,0.2921849938,0.7196155286,0.0,0.0626501323,0.0
20200121-t-163,I0047800,T0052450,0.0,0.1876234662,0.0,0.0,0.0,0.1343786416,0.3443235891,0.0,0.0,4.4131830493,0.0
20200121-f-163,I0047572,T0052437--094,0.0,0.1904008712,0.0,0.0,0.0,0.1274190608,0.3105854967,0.7230848097,0.0,0.0458585387,0.0
20200121-t-164,I0044223,T0052438--095,0.0,0.1902282217,0.0,0.0,0.0,0.1500967008,0.3243161157,0.0,0.0,3.4274145059999995393,0.0
20200121-f-164,I0043868,T0052409--096,0.0,0.1828057945,0.0,0.0,0.0,0.171237576,0.3618289772,0.0,0.0,0.0876790419,0.0
20200121-BL-BL,I0047482,T0052410--097,24.285847248,0.0,0.0,0.0,0.0,0.1287414352,0.2921674967,0.7229255459,0.0,0.0446040526,0.0


Sample,Barcode,Parent Barcode,batch,condition,strain_int
20200121-BL-BL,I0047482,,20200121,BL,BL
20200121-f-164,I0043868,,20200121,f,164
20200121-t-164,I0044223,,20200121,t,164
20200121-f-163,I0047572,,20200121,f,163
20200121-t-163,I0047800,,20200121,t,163
20200121-f-162,I0047470,,20200121,f,162
20200121-t-162,I0047654,,20200121,t,162
20200121-f-161,I0047689,,20200121,f,161
20200121-t-161,I0047508,,20200121,t,161
20200121-f-160,I0047798,,20200121,f,160
20200121-t-160,I0047530,,20200121,t,160
20200121-f-159,I0047649,,20200121,f,159
20200121-t-159,I0047742,,20200121,t,159
20200121-f-157,I0047710,,20200121,f,157
20200121-t-157,I0047614,,20200121,t,157
20200121-f-156,I0047803,,20200121,f,156
20200121-t-156,I0047520,,20200121,t,156
20200121-f-155,I0047551,,20200121,f,155
20200121-t-155,I0047509,,20200121,t,155
20200121-f-154,I0047543,,20200121,f,154
20200121-t-154,I0047655,,20200121,t,154
20200121-f-153,I0047562,,20200121,f,153
20200121-t-153,I0047623,,20200121,t,153
20200121-f-152,I0047760,,20200121,f,152
20200121-t-152,I0047479,,20200121,t,152
20200121-f-151,I0047587,,20200121,f,151
20200121-t-151,I0047666,,20200121,t,151
20200121-f-150,I0047532,,20200121,f,150
20200121-t-150,I0047658,,20200121,t,150
20200121-f-149,I0047531,,20200121,f,149
20200121-t-149,I0047559,,20200121,t,149
20200121-f-148,I0047507,,20200121,f,148
20200121-t-148,I0047523,,20200121,t,148
20200121-f-144,I0047527,,20200121,f,144
20200121-t-144,I0047529,,20200121,t,144
20200121-f-143,I0047485,,20200121,f,143
20200121-t-143,I0047570,,20200121,t,143
20200121-f-23,I0035533,,20200121,f,23
20200121-t-23,I0035532,,20200121,t,23


