End Products
Sample,Barcode,"",Glucose Avg(g/L),Xylose Avg(g/L),Pyruvate Avg(g/L),Xylitol Avg(g/L),Succinate Avg(g/L),Lactate Avg(g/L),Glycerol Avg(g/L),Formate Avg(g/L),Acetate Avg(g/L),Ethanol Avg(g/L),Cellobiose Avg(g/L)
20200117-t-21,I0035625,"",22.4925868544,0.0,0.0,0.0,0.0,0.1283063488,0.2934005818,0.726265943,0.0,0.045777455499999995393,0.0
20200117-f-21,I0035699,"",21.6900947616,0.0,0.0,0.0,0.0,0.1277073168,0.2921849938,0.7190231225,0.0,0.0509852083,0.0
20200117-t-24,I0040060,"",21.4425134848,0.0,0.0,0.0,0.0,0.1274289696,0.2921481578,0.7195188656,0.0,0.044753780099999995393,0.0
20200117-f-24,I0040957,"",22.0423435936,0.0,0.0,0.0,0.0,0.1291224736,0.2926168959,0.7203975783,0.0,0.0476649434,0.0
20200117-t-25,I0040618,"",16.9272949216000018016,0.0,0.0,0.0,0.0,0.12872432,0.6016000266,0.7196716852,0.0,2.5423125983,0.0
20200117-f-25,I0040571,"",10.1923610304,0.2138676915,0.0,0.0,0.0,0.0,0.7846187717,0.0,0.0,5.1124823435,0.0
20200117-t-26,I0041015,"",18.8037243776,0.0,0.0,0.0,0.0,0.1541863328,0.2922890555,0.7236813585,0.19618077528,0.0982967948,0.0
20200117-f-26,I0040648,"",16.242450912,0.2373210001,0.0,0.0,0.0,0.158644392,0.0,0.7294613456,0.0,0.0450587635,0.0
20200117-t-30,I0035391,"",21.8607657344,0.0,0.0,0.0,0.0,0.1275091408,0.2926647827,0.7189678865,0.0,0.1280326763,0.0
20200117-f-30,I0035697,"",20.9827325536,0.0,0.0,0.0,0.0,0.127422664,0.2925321731,0.72142819,0.0,0.044945431300000004607,0.0
20200117-t-31,I0041020,"",0.0,0.2385835934,0.0,0.0,0.0,0.1303980064,0.0,0.8079466383,0.0,7.5568966525,0.0
20200117-f-31,I0035758,"",0.0,0.2404557145,0.0,0.0,0.0,0.1280325056,0.2949762417,0.8040340883,0.06536229844,8.2239322043,0.0
20200117-t-33,I0040408,"",0.0,0.2261243047,0.0,0.0,0.0,0.12987284,0.2922181462,0.8287034065,0.0,7.9733008082,0.0
20200117-f-33,I0041170,"",0.0,0.2308714153,0.0,0.0,0.0,0.1280334064,0.0,0.9185157616,0.10735734344,8.0697059688,0.0
20200117-t-34,I0040612,"",1.4077288032,0.2022881646,0.0,0.0,0.0472371809,0.0,0.5073099965,0.0,0.0,4.1525986904,0.0
20200117-f-34,I0040617,"",4.8698797376,0.2031424043,0.0,0.0,0.1817735752,0.0,0.4241085233,0.719596196,0.0,1.9807091629,0.0
20200117-t-35,I0040709,"",0.0,0.1790330276,0.0,0.0,0.0593579385,0.0,0.7220196733,0.0,0.0,6.8382981746,0.0
20200117-f-35,I0040071,"",0.0,0.1878321469,0.0,0.0,0.0333025609,0.0,0.6305899586,0.0,0.0,7.014659663,0.0
20200117-t-36,I0040642,"",0.0,0.178579635,0.0,0.0,0.0,0.0,0.7692664478,0.7207460254,0.0,3.788266995,0.0
20200117-f-36,I0040710,"",0.0,0.1798887686,0.0,0.0,0.0283274292,0.0,1.398976026,0.0,0.16666586056,0.8156237407,0.0
20200117-t-37,I0040915,"",0.0,0.184554809,0.0,0.0,0.0,0.1325698352,0.3145186606,0.7940322296,0.08337780372,4.702470861,0.0
20200117-f-37,I0041026,"",0.0,0.1868998396,0.0,0.0,0.3310712195,0.13030072,0.3353779665,0.7868115035,1.57745256864,1.576759571,0.0
20200117-t-39,I0040736,"",0.1727247968,0.1824725059,0.0,0.0,0.0,0.1415724304,0.3474067623,0.0,0.13175845732,6.5428425113,0.0
20200117-f-39,I0035866,"",0.0,0.2012252442,0.0,0.0,0.0,0.141313,0.39580282,0.0,0.68735423116,5.5630197622,0.0
20200117-t-40,I0040559,"",1.9798160736,0.0,0.0,0.0,0.0,0.132386072,1.151778839,0.0,0.34142133956,5.0133516817,0.0
20200117-f-40,I0041180,"",0.0,0.2101609818,0.0,0.0,0.0054415872,0.1356938096,0.9744475723,0.0,1.17663591728,3.3498657964,0.0
20200117-t-41,I0040607,"",0.0,0.1875198765,0.0,0.0,0.0,0.1315411216,0.2934392596,0.8004050831,0.015115264,5.501573439,0.0
20200117-f-41,I0040717,"",0.0,0.1867512109,0.0,0.0,0.0,0.1316906544,0.3217329912,0.807743646,0.0,1.937718021,0.0
20200117-BL-BL,I0047571,"",23.4065151136,0.0,0.0,0.0,0.0,0.127526256,0.293371113,0.7228311844,0.0,0.0455706012,0.0

Technical Replicate Summary
Sample,Barcode,Transfer_Sample,Glucose(g/L),Xylose(g/L),Pyruvate(g/L),Xylitol(g/L),Succinate(g/L),Lactate(g/L),Glycerol(g/L),Formate(g/L),Acetate(g/L),Ethanol(g/L),Cellobiose(g/L)
