barcode	name	batch	condition	strain int
I0035396	NA-t-1	NA	t	1
I0035183	NA-f-1	NA	f	1
I0037339	NA-t-2	NA	t	2
I0035539	NA-f-2	NA	f	2
I0037498	NA-t-3	NA	t	3
I0036975	NA-f-3	NA	f	3
I0037122	NA-t-4	NA	t	4
I0035173	NA-f-4	NA	f	4
I0037249	NA-t-5	NA	t	5
I0035766	NA-f-5	NA	f	5
I0040926	NA-t-6	NA	t	6
I0040583	NA-f-6	NA	f	6
I0035664	NA-t-7	NA	t	7
I0035728	NA-f-7	NA	f	7
I0037499	NA-t-8	NA	t	8
I0035665	NA-f-8	NA	f	8
I0035404	NA-t-9	NA	t	9
I0035802	NA-f-9	NA	f	9
I0040608	NA-t-10	NA	t	10
I0040051	NA-f-10	NA	f	10
I0040540	NA-t-11	NA	t	11
I0040613	NA-f-11	NA	f	11
I0040536	NA-t-12	NA	t	12
I0040620	NA-f-12	NA	f	12
I0037497	NA-t-13	NA	t	13
I0035216	NA-f-13	NA	f	13
I0040870	NA-t-14	NA	t	14
I0040686	NA-f-14	NA	f	14
I0040867	NA-t-15	NA	t	15
I0040919	NA-f-15	NA	f	15
I0040978	NA-t-16	NA	t	16
I0040990	NA-f-16	NA	f	16
I0040738	NA-t-17	NA	t	17
I0041147	NA-f-17	NA	f	17
I0040659	NA-t-18	NA	t	18
I0040658	NA-f-18	NA	f	18
I0040886	NA-t-19	NA	t	19
I0040654	NA-f-19	NA	f	19
I0040909	NA-t-20	NA	t	20
I0041181	NA-f-20	NA	f	20
I0035625	NA-t-21	NA	t	21
I0035699	NA-f-21	NA	f	21
I0037272	NA-t-22	NA	t	22
I0035806	NA-f-22	NA	f	22
I0035532	NA-t-23	NA	t	23
I0035533	NA-f-23	NA	f	23
I0040060	NA-t-24	NA	t	24
I0040957	NA-f-24	NA	f	24
I0040618	NA-t-25	NA	t	25
I0040571	NA-f-25	NA	f	25
I0041015	NA-t-26	NA	t	26
I0040648	NA-f-26	NA	f	26
I0037423	NA-t-27	NA	t	27
I0035184	NA-f-27	NA	f	27
I0037225	NA-t-28	NA	t	28
I0035615	NA-f-28	NA	f	28
I0035339	NA-t-29	NA	t	29
I0037588	NA-f-29	NA	f	29
I0035391	NA-t-30	NA	t	30
I0035697	NA-f-30	NA	f	30
I0041020	NA-t-31	NA	t	31
I0035758	NA-f-31	NA	f	31
I0040082	NA-t-32	NA	t	32
I0040653	NA-f-32	NA	f	32
I0040408	NA-t-33	NA	t	33
I0041170	NA-f-33	NA	f	33
I0040612	NA-t-34	NA	t	34
I0040617	NA-f-34	NA	f	34
I0040709	NA-t-35	NA	t	35
I0040071	NA-f-35	NA	f	35
I0040642	NA-t-36	NA	t	36
I0040710	NA-f-36	NA	f	36
I0040915	NA-t-37	NA	t	37
I0041026	NA-f-37	NA	f	37
I0035583	NA-t-38	NA	t	38
I0035767	NA-f-38	NA	f	38
I0040736	NA-t-39	NA	t	39
I0035866	NA-f-39	NA	f	39
I0040559	NA-t-40	NA	t	40
I0041180	NA-f-40	NA	f	40
I0040607	NA-t-41	NA	t	41
I0040717	NA-f-41	NA	f	41
I0035723	NA-t-42	NA	t	42
I0035621	NA-f-42	NA	f	42
I0037313	NA-t-43	NA	t	43
I0035748	NA-f-43	NA	f	43
I0035520	NA-t-44	NA	t	44
I0037474	NA-f-44	NA	f	44
I0036729	NA-t-45	NA	t	45
I0035641	NA-f-45	NA	f	45
I0035844	20190916-t-46	20190916	t	46
I0035639	20190916-f-46	20190916	f	46
I0035510	20190924-t-47	20190924	t	47
I0035733	20190916-f-47	20190916	f	47
I0037244	20190924-t-48	20190924	t	48
I0035430	20190916-f-48	20190916	f	48
I0037550	20190924-t-49	20190924	t	49
I0035381	20190916-f-49	20190916	f	49
I0037472	20190924-t-50	20190924	t	50
I0036639	20190916-f-50	20190916	f	50
I0037229	20190924-t-51	20190924	t	51
I0037480	20190916-f-51	20190916	f	51
I0037410	20190924-t-52	20190924	t	52
I0035588	20190916-f-52	20190916	f	52
I0035517	20190924-t-53	20190924	t	53
I0037462	20190916-f-53	20190916	f	53
I0037539	20190924-t-54	20190924	t	54
I0037458	20190916-f-54	20190916	f	54
I0035544	20190924-t-55	20190924	t	55
I0037289	20190916-f-55	20190916	f	55
I0035841	20190924-t-56	20190924	t	56
I0035722	20190916-f-56	20190916	f	56
I0035726	20190924-t-57	20190924	t	57
I0037204	20190916-f-57	20190916	f	57
I0037422	20190924-t-58	20190924	t	58
I0035794	20190916-f-58	20190916	f	58
I0036817	20190924-t-59	20190924	t	59
I0035742	20190916-f-59	20190916	f	59
I0036638	20190924-t-60	20190924	t	60
I0037502	20190916-f-60	20190916	f	60
I0037365	20190924-t-61	20190924	t	61
I0037189	20190916-f-61	20190916	f	61
I0035513	20190924-t-62	20190924	t	62
I0037540	20190916-f-62	20190916	f	62
I0037357	20190924-t-63	20190924	t	63
I0035826	20190916-f-63	20190916	f	63
I0037438	20190924-t-64	20190924	t	64
I0037193	20190924-f-64	20190924	f	64
I0037062	20190916-t-BL	20190916	t	BL
I0037198	20190924-t-65	20190924	t	65
I0035176	20190916-f-65	20190916	f	65
I0035812	20190924-t-66	20190924	t	66
I0037159	20190924-f-66	20190924	f	66
I0035859	20190924-t-67	20190924	t	67
I0035645	20190924-f-67	20190924	f	67
I0035838	20190924-t-68	20190924	t	68
I0035771	20190924-f-68	20190924	f	68
I0037215	20190924-t-69	20190924	t	69
I0037047	20190924-f-69	20190924	f	69
I0037481	20190924-t-70	20190924	t	70
I0035803	20190924-f-70	20190924	f	70
I0035278	20190924-t-71	20190924	t	71
I0035712	20190924-f-71	20190924	f	71
I0037110	20190924-t-72	20190924	t	72
I0035577	20190924-f-72	20190924	f	72
I0035372	20190924-t-73	20190924	t	73
I0037418	20190924-f-73	20190924	f	73
I0035617	20190924-t-74	20190924	t	74
I0036945	20190924-f-74	20190924	f	74
I0037324	20190924-t-75	20190924	t	75
I0035589	20190924-f-75	20190924	f	75
I0035691	20190924-t-76	20190924	t	76
I0037308	20190924-f-76	20190924	f	76
I0035361	20190924-t-77	20190924	t	77
I0037248	20190924-f-77	20190924	f	77
I0035439	20190924-t-78	20190924	t	78
