barcode	name	batch	condition	strain int
I0035652	20190924-f-78	20190924	f	78
I0037570	20190924-t-79	20190924	t	79
I0036624	20190924-f-79	20190924	f	79
I0035709	20190924-t-80	20190924	t	80
I0035167	20190924-f-80	20190924	f	80
I0035382	20190924-t-81	20190924	t	81
I0036997	20190924-f-81	20190924	f	81
I0035605	20190924-t-82	20190924	t	82
I0035180	20190930-f-82	20190930	f	82
I0035739	20190924-t-83	20190924	t	83
I0035501	20190930-f-83	20190930	f	83
I0037577	20190924-t-84	20190924	t	84
I0037601	20190930-f-84	20190930	f	84
I0035522	20190930-t-85	20190930	t	85
I0037314	20190930-f-85	20190930	f	85
I0037104	20190930-t-86	20190930	t	86
I0037226	20190930-f-86	20190930	f	86
I0037179	20190930-t-87	20190930	t	87
I0035793	20190930-f-87	20190930	f	87
I0035879	20190930-t-88	20190930	t	88
I0037501	20190930-f-88	20190930	f	88
I0037561	20190930-t-89	20190930	t	89
I0035676	20190930-f-89	20190930	f	89
I0036863	20190930-t-90	20190930	t	90
I0036607	20190930-f-90	20190930	f	90
I0037203	20190930-t-91	20190930	t	91
I0037311	20190930-f-91	20190930	f	91
I0037093	20190930-t-92	20190930	t	92
I0035789	20190930-f-92	20190930	f	92
I0037469	20190930-t-93	20190930	t	93
I0035618	20190930-f-93	20190930	f	93
I0035778	20190930-t-94	20190930	t	94
I0037375	20190930-f-94	20190930	f	94
I0036968	20191014-t-95	20191014	t	95
I0035764	20191014-f-95	20191014	f	95
I0035746	20191014-t-96	20191014	t	96
I0035677	20191014-f-96	20191014	f	96
I0035805	20190930-t-97	20190930	t	97
I0037484	20190930-f-97	20190930	f	97
I0037202	20190930-t-98	20190930	t	98
I0035571	20190930-f-98	20190930	f	98
I0035752	20190930-t-99	20190930	t	99
I0037097	20190930-f-99	20190930	f	99
I0035509	20190930-t-100	20190930	t	100
I0035701	20190930-f-100	20190930	f	100
I0037350	20190930-t-101	20190930	t	101
I0037516	20190930-f-101	20190930	f	101
I0020000	20190930-t-BL	20190930	t	BL
I0036493	20190930-f-BL	20190930	f	BL
I0035646	20191007-t-102	20191007	t	102
I0037597	20191007-f-102	20191007	f	102
I0035716	20191007-t-103	20191007	t	103
I0037307	20191007-f-103	20191007	f	103
I0037599	20191007-t-104	20191007	t	104
I0035768	20191007-f-104	20191007	f	104
I0037186	20191007-t-105	20191007	t	105
I0035378	20191007-f-105	20191007	f	105
I0035467	20191007-t-106	20191007	t	106
I0037551	20191007-f-106	20191007	f	106
I0035495	20191007-t-107	20191007	t	107
I0035541	20191007-f-107	20191007	f	107
I0035711	20191007-t-108	20191007	t	108
I0035685	20191007-f-108	20191007	f	108
I0037237	20191007-t-109	20191007	t	109
I0035432	20191007-f-109	20191007	f	109
I0037436	20191007-t-110	20191007	t	110
I0037534	20191007-f-110	20191007	f	110
I0037463	20191007-t-111	20191007	t	111
I0037194	20191007-f-111	20191007	f	111
I0035635	20191007-t-112	20191007	t	112
I0035570	20191007-f-112	20191007	f	112
I0037374	20191007-t-113	20191007	t	113
I0035217	20191007-f-113	20191007	f	113
I0037525	20191007-t-114	20191007	t	114
I0037528	20191007-f-114	20191007	f	114
I0037398	20191007-t-115	20191007	t	115
I0037136	20191007-f-115	20191007	f	115
I0035690	20191007-t-116	20191007	t	116
I0035579	20191007-f-116	20191007	f	116
I0037565	20191007-t-117	20191007	t	117
I0037288	20191007-f-117	20191007	f	117
I0035808	20191007-t-118	20191007	t	118
I0037544	20191007-f-118	20191007	f	118
I0035596	20191007-t-119	20191007	t	119
I0035760	NA-f-119	NA	f	119
I0037329	20191014-t-120	20191014	t	120
I0037355	20191014-f-120	20191014	f	120
I0035519	20191014-t-121	20191014	t	121
I0035811	20191014-f-121	20191014	f	121
I0037167	20191014-t-122	20191014	t	122
I0037220	20191014-f-122	20191014	f	122
I0036970	NA-t-123	NA	t	123
I0035696	NA-f-123	NA	f	123
I0035166	NA-t-124	NA	t	124
I0037213	NA-f-124	NA	f	124
I0035668	20191014-t-125	20191014	t	125
I0037138	20191014-f-125	20191014	f	125
I0037356	NA-t-126	NA	t	126
I0037486	NA-f-126	NA	f	126
I0040563	20191014-t-127	20191014	t	127
I0041131	20191014-f-127	20191014	f	127
I0035795	20191014-t-128	20191014	t	128
I0040568	20191014-f-128	20191014	f	128
I0041186	20191014-t-129	20191014	t	129
I0041022	20191014-f-129	20191014	f	129
I0040976	20191014-t-130	20191014	t	130
I0040694	20191014-f-130	20191014	f	130
I0041093	20191014-t-131	20191014	t	131
I0040876	20191014-f-131	20191014	f	131
I0041084	20191014-t-132	20191014	t	132
I0035578	20191014-f-132	20191014	f	132
I0040570	20191014-t-133	20191014	t	133
I0035368	20191014-f-133	20191014	f	133
I0040556	20191014-t-134	20191014	t	134
I0040640	20191014-f-134	20191014	f	134
I0040680	20191014-t-135	20191014	t	135
I0040550	20191014-f-135	20191014	f	135
I0040711	20191014-t-136	20191014	t	136
I0040695	20191014-f-136	20191014	f	136
I0040964	20191014-t-137	20191014	t	137
I0040856	20191014-f-137	20191014	f	137
I0040728	20191014-t-138	20191014	t	138
I0040588	20191014-f-138	20191014	f	138
I0040067	20191014-t-139	20191014	t	139
I0037485	20191014-f-139	20191014	f	139
I0037473	20191014-t-140	20191014	t	140
I0035524	20191014-f-140	20191014	f	140
I0037397	20191014-t-141	20191014	t	141
I0035642	20191014-f-141	20191014	f	141
I0035877	20191014-t-142	20191014	t	142
I0037523	20191014-f-142	20191014	f	142
I0037548	20191021-t-143	20191021	t	143
I0035654	20191021-f-143	20191021	f	143
I0035698	20191021-t-144	20191021	t	144
I0037466	20191021-f-144	20191021	f	144
I0040684	NA-t-145	NA	t	145
I0036646	NA-f-145	NA	f	145
I0037260	NA-t-146	NA	t	146
I0037192	NA-f-146	NA	f	146
I0037435	NA-t-147	NA	t	147
I0035800	NA-f-147	NA	f	147
I0035688	20191021-t-148	20191021	t	148
I0037479	20191021-f-148	20191021	f	148
I0036635	20191021-t-149	20191021	t	149
I0035516	20191021-f-149	20191021	f	149
I0036722	20191021-t-150	20191021	t	150
I0037413	20191021-f-150	20191021	f	150
I0040545	20191021-t-151	20191021	t	151
I0040562	20191021-f-151	20191021	f	151
I0040743	20191021-t-152	20191021	t	152
I0040741	20191021-f-152	20191021	f	152
I0040070	20191021-t-153	20191021	t	153
I0040592	20191021-f-153	20191021	f	153
I0040557	20191021-t-154	20191021	t	154
I0040578	20191021-f-154	20191021	f	154
I0040665	20191021-t-155	20191021	t	155
I0035686	20191021-f-155	20191021	f	155
I0040596	20191021-t-156	20191021	t	156
I0040572	20191021-f-156	20191021	f	156
I0040052	20191021-t-157	20191021	t	157
I0040718	20191021-f-157	20191021	f	157
I0040729	NA-t-158	NA	t	158
I0040574	NA-f-158	NA	f	158
I0040701	20191021-t-159	20191021	t	159
I0040707	20191021-f-159	20191021	f	159
I0040716	20191021-t-160	20191021	t	160
I0040634	20191021-f-160	20191021	f	160
I0040669	20191021-t-161	20191021	t	161
I0040655	20191021-f-161	20191021	f	161
I0041172	20191021-t-162	20191021	t	162
I0041076	20191021-f-162	20191021	f	162
I0040625	20191021-t-163	20191021	t	163
I0040058	20191021-f-163	20191021	f	163
I0040744	20191021-t-164	20191021	t	164
I0040074	20191021-f-164	20191021	f	164
I0040632	20191021-t-165	20191021	t	165
I0040059	20191021-f-165	20191021	f	165
I0041081	NA-t-166	NA	t	166
I0040714	NA-f-166	NA	f	166
I0040874	NA-t-167	NA	t	167
I0040931	NA-f-167	NA	f	167
I0040666	NA-t-168	NA	t	168
I0040692	NA-f-168	NA	f	168
I0040674	NA-t-169	NA	t	169
I0040723	NA-f-169	NA	f	169
I0040057	NA-t-170	NA	t	170
I0040587	NA-f-170	NA	f	170
I0040746	NA-t-171	NA	t	171
I0040643	NA-f-171	NA	f	171
I0041017	NA-t-172	NA	t	172
I0041114	NA-f-172	NA	f	172
I0040657	NA-t-173	NA	t	173
I0040544	NA-f-173	NA	f	173
I0041092	NA-t-174	NA	t	174
I0040584	NA-f-174	NA	f	174
I0040637	NA-t-175	NA	t	175
I0040739	NA-f-175	NA	f	175
I0040537	NA-t-176	NA	t	176
I0040601	NA-f-176	NA	f	176
I0041117	NA-t-177	NA	t	177
I0040698	NA-f-177	NA	f	177
I0040065	NA-t-178	NA	t	178
I0035371	NA-f-178	NA	f	178
I0040968	NA-f-179	NA	f	179
I0040577	NA-f-179	NA	f	179
I0040946	NA-t-180	NA	t	180
I0041152	NA-f-180	NA	f	180
I0040724	NA-t-181	NA	t	181
I0040671	NA-f-181	NA	f	181
I0040585	NA-t-182	NA	t	182
I0040685	NA-f-182	NA	f	182
I0040581	NA-t-183	NA	t	183
I0040621	NA-f-183	NA	f	183
I0040662	NA-f-184	NA	f	184
I0041182	NA-f-184	NA	f	184
I0040706	NA-t-185	NA	t	185
I0040938	NA-f-185	NA	f	185
I0040630	NA-t-186	NA	t	186
I0035330	NA-f-186	NA	f	186
I0040569	NA-t-187	NA	t	187
I0040582	NA-f-187	NA	f	187
I0040981	NA-t-188	NA	t	188
I0040603	NA-f-188	NA	f	188
I0035858	NA-f-189	NA	f	189
I0040598	NA-f-189	NA	f	189
I0040543	NA-t-190	NA	t	190
I0040629	NA-f-190	NA	f	190
I0040747	NA-t-191	NA	t	191
I0040652	NA-f-191	NA	f	191
I0035818	NA-t-192	NA	t	192
I0040682	NA-f-192	NA	f	192
I0040679	NA-t-193	NA	t	193
I0040668	NA-f-193	NA	f	193
I0040600	NA-f-194	NA	f	194
I0040733	NA-f-194	NA	f	194
I0040708	NA-t-195	NA	t	195
I0040626	NA-f-195	NA	f	195
I0040565	NA-t-196	NA	t	196
I0040720	NA-f-196	NA	f	196
I0040731	NA-t-197	NA	t	197
I0040944	NA-f-197	NA	f	197
I0040697	NA-t-198	NA	t	198
I0040678	NA-f-198	NA	f	198
I0040533	NA-f-199	NA	f	199
I0040534	NA-f-199	NA	f	199
I0040966	NA-t-200	NA	t	200
I0040722	NA-f-200	NA	f	200
I0040610	NA-t-201	NA	t	201
I0040908	NA-f-201	NA	f	201
I0040883	NA-t-202	NA	t	202
I0040656	NA-f-202	NA	f	202
I0040604	NA-t-203	NA	t	203
I0035631	NA-f-203	NA	f	203
I0040705	NA-f-204	NA	f	204
I0040535	NA-f-204	NA	f	204
I0041011	NA-t-205	NA	t	205
I0040054	NA-f-205	NA	f	205
I0040667	NA-t-206	NA	t	206
I0040727	NA-f-206	NA	f	206
I0040573	NA-t-207	NA	t	207
I0040715	NA-f-207	NA	f	207
I0040549	NA-t-208	NA	t	208
I0040551	NA-f-208	NA	f	208
I0040735	NA-f-209	NA	f	209
I0040661	NA-f-209	NA	f	209
I0035569	NA-t-210	NA	t	210
I0040619	NA-f-210	NA	f	210
	NA-t-211	NA	t	211
	NA-f-211	NA	f	211
	NA-t-212	NA	t	212
	NA-f-212	NA	f	212
	NA-t-213	NA	t	213
	NA-f-213	NA	f	213
	NA-f-214	NA	f	214
	NA-f-214	NA	f	214
	NA-t-215	NA	t	215
	NA-f-215	NA	f	215
	NA-t-216	NA	t	216
	NA-f-216	NA	f	216
	NA-t-217	NA	t	217
	NA-f-217	NA	f	217
	NA-t-218	NA	t	218
	NA-f-218	NA	f	218
	NA-f-219	NA	f	219
	NA-f-219	NA	f	219
	NA-t-220	NA	t	220
	NA-f-220	NA	f	220
	NA-t-221	NA	t	221
	NA-f-221	NA	f	221
	NA-t-222	NA	t	222
	NA-f-222	NA	f	222
	NA-t-223	NA	t	223
	NA-f-223	NA	f	223
	NA-f-224	NA	f	224
	NA-f-224	NA	f	224
	NA-t-225	NA	t	225
	NA-f-225	NA	f	225
	NA-t-226	NA	t	226
	NA-f-226	NA	f	226
	NA-t-227	NA	t	227
	NA-f-227	NA	f	227
	NA-t-228	NA	t	228
	NA-f-228	NA	f	228
	NA-f-229	NA	f	229
	NA-f-229	NA	f	229
	NA-t-230	NA	t	230
	NA-f-230	NA	f	230
	NA-t-231	NA	t	231
	NA-f-231	NA	f	231
	NA-t-232	NA	t	232
	NA-f-232	NA	f	232
	NA-t-233	NA	t	233
	NA-f-233	NA	f	233
	NA-f-234	NA	f	234
	NA-f-234	NA	f	234
	NA-t-235	NA	t	235
	NA-f-235	NA	f	235
	NA-t-236	NA	t	236
	NA-f-236	NA	f	236
	NA-t-237	NA	t	237
	NA-f-237	NA	f	237
	NA-t-238	NA	t	238
	NA-f-238	NA	f	238
	NA-f-239	NA	f	239
	NA-f-239	NA	f	239
	NA-t-240	NA	t	240
	NA-f-240	NA	f	240
	NA-t-241	NA	t	241
	NA-f-241	NA	f	241
	NA-t-242	NA	t	242
	NA-f-242	NA	f	242
	NA-t-243	NA	t	243
	NA-f-243	NA	f	243
	NA-f-244	NA	f	244
	NA-f-244	NA	f	244
	NA-t-245	NA	t	245
	NA-f-245	NA	f	245
	NA-t-246	NA	t	246
	NA-f-246	NA	f	246
	NA-t-247	NA	t	247
	NA-f-247	NA	f	247
	NA-t-248	NA	t	248
	NA-f-248	NA	f	248
	NA-f-249	NA	f	249
	NA-f-249	NA	f	249
	NA-t-250	NA	t	250
	NA-f-250	NA	f	250
	NA-t-251	NA	t	251
	NA-f-251	NA	f	251
	NA-t-252	NA	t	252
	NA-f-252	NA	f	252
	NA-t-253	NA	t	253
	NA-f-253	NA	f	253
	NA-f-254	NA	f	254
	NA-f-254	NA	f	254
	NA-t-255	NA	t	255
	NA-f-255	NA	f	255
	NA-t-256	NA	t	256
	NA-f-256	NA	f	256
	NA-t-257	NA	t	257
	NA-f-257	NA	f	257
	NA-t-258	NA	t	258
	NA-f-258	NA	f	258
	NA-f-259	NA	f	259
	NA-f-259	NA	f	259
	NA-t-260	NA	t	260
	NA-f-260	NA	f	260
	NA-t-261	NA	t	261
	NA-f-261	NA	f	261
	NA-t-262	NA	t	262
	NA-f-262	NA	f	262
	NA-t-263	NA	t	263
	NA-f-263	NA	f	263
	NA-f-264	NA	f	264
	NA-f-264	NA	f	264
	NA-t-265	NA	t	265
	NA-f-265	NA	f	265
	NA-t-266	NA	t	266
	NA-f-266	NA	f	266
	NA-t-267	NA	t	267
	NA-f-267	NA	f	267
	NA-t-268	NA	t	268
	NA-f-268	NA	f	268
	NA-f-269	NA	f	269
	NA-f-269	NA	f	269
	NA-t-270	NA	t	270
	NA-f-270	NA	f	270
	NA-t-271	NA	t	271
	NA-f-271	NA	f	271
	NA-t-272	NA	t	272
	NA-f-272	NA	f	272
	NA-t-273	NA	t	273
	NA-f-273	NA	f	273
	NA-f-274	NA	f	274
	NA-f-274	NA	f	274
	NA-t-275	NA	t	275
	NA-f-275	NA	f	275
	NA-t-276	NA	t	276
	NA-f-276	NA	f	276
	NA-t-277	NA	t	277
	NA-f-277	NA	f	277
	NA-t-278	NA	t	278
	NA-f-278	NA	f	278
	NA-f-279	NA	f	279
	NA-f-279	NA	f	279
	NA-t-280	NA	t	280
	NA-f-280	NA	f	280
	NA-t-281	NA	t	281
	NA-f-281	NA	f	281
	NA-t-282	NA	t	282
	NA-f-282	NA	f	282
	NA-t-283	NA	t	283
	NA-f-283	NA	f	283
	NA-f-284	NA	f	284
	NA-f-284	NA	f	284
	NA-t-285	NA	t	285
	NA-f-285	NA	f	285
	NA-t-286	NA	t	286
	NA-f-286	NA	f	286
	NA-t-287	NA	t	287
	NA-f-287	NA	f	287
	NA-t-288	NA	t	288
	NA-f-288	NA	f	288
	NA-f-289	NA	f	289
	NA-f-289	NA	f	289
	NA-t-290	NA	t	290
	NA-f-290	NA	f	290
	NA-t-291	NA	t	291
	NA-f-291	NA	f	291
	NA-t-292	NA	t	292
	NA-f-292	NA	f	292
	NA-t-293	NA	t	293
	NA-f-293	NA	f	293
	NA-f-294	NA	f	294
	NA-f-294	NA	f	294
	NA-t-295	NA	t	295
	NA-f-295	NA	f	295
	NA-t-296	NA	t	296
	NA-f-296	NA	f	296
	NA-t-297	NA	t	297
	NA-f-297	NA	f	297
	NA-t-298	NA	t	298
	NA-f-298	NA	f	298
	NA-f-299	NA	f	299
	NA-f-299	NA	f	299
	NA-t-300	NA	t	300
	NA-f-300	NA	f	300
	NA-t-301	NA	t	301
	NA-f-301	NA	f	301
	NA-t-302	NA	t	302
	NA-f-302	NA	f	302
	NA-t-303	NA	t	303
	NA-f-303	NA	f	303
	NA-f-304	NA	f	304
	NA-f-304	NA	f	304
	NA-t-305	NA	t	305
	NA-f-305	NA	f	305
	NA-t-306	NA	t	306
	NA-f-306	NA	f	306
	NA-t-307	NA	t	307
	NA-f-307	NA	f	307
	NA-t-308	NA	t	308
	NA-f-308	NA	f	308
	NA-f-309	NA	f	309
	NA-f-309	NA	f	309
	NA-t-310	NA	t	310
	NA-f-310	NA	f	310
	NA-t-311	NA	t	311
	NA-f-311	NA	f	311
	NA-t-312	NA	t	312
	NA-f-312	NA	f	312
	NA-t-313	NA	t	313
	NA-f-313	NA	f	313
	NA-f-314	NA	f	314
	NA-f-314	NA	f	314
	NA-t-315	NA	t	315
	NA-f-315	NA	f	315
	NA-t-316	NA	t	316
	NA-f-316	NA	f	316
	NA-t-317	NA	t	317
	NA-f-317	NA	f	317
	NA-t-318	NA	t	318
	NA-f-318	NA	f	318
	NA-f-319	NA	f	319
	NA-f-319	NA	f	319
	NA-t-320	NA	t	320
	NA-f-320	NA	f	320
	NA-t-321	NA	t	321
	NA-f-321	NA	f	321
	NA-t-322	NA	t	322
	NA-f-322	NA	f	322
	NA-t-323	NA	t	323
	NA-f-323	NA	f	323
	NA-f-324	NA	f	324
	NA-f-324	NA	f	324
	NA-t-325	NA	t	325
	NA-f-325	NA	f	325
	NA-t-326	NA	t	326
	NA-f-326	NA	f	326
	NA-t-327	NA	t	327
	NA-f-327	NA	f	327
	NA-t-328	NA	t	328
	NA-f-328	NA	f	328
	NA-f-329	NA	f	329
	NA-f-329	NA	f	329
	NA-t-330	NA	t	330
	NA-f-330	NA	f	330
	NA-t-331	NA	t	331
	NA-f-331	NA	f	331
	NA-t-332	NA	t	332
	NA-f-332	NA	f	332
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
