"tube_yield"	"flask_yield"
"10"	73.0954516821501	70.396174692911
"11"	34.9021589687771	4.15115141474233
"12"	53.1371041827887	50.0337747988338
"13"	67.2120979565021	68.8910716317834
"15"	0.888361407719402	0.449070933606853
"16"	48.2521777148938	47.3023761588105
"19"	1.1983899218145	0.691705821026284
"20"	28.1008964831485	0.661348505190385
"31"	63.1205596667574	68.6921136105726
"33"	66.5986624600055	67.4039067251659
"34"	36.9050126082027	20.8907446136996
"35"	57.1183155993171	58.5914118137251
"36"	31.6422923174951	6.81266786590849
"37"	39.278371296072	13.170214065123
"38"	46.0386158086041	15.6068552689214
"39"	55.0567431949025	46.4662859602731
"40"	45.7443033456806	27.9804546231746
"41"	45.9530426954515	16.1851950061297
"47"	1.78038707945036	9.32861805524242
"48"	75.3423061200553	7.81799455908352
"49"	61.7018857839076	26.5289155144936
"50"	52.8499829131393	0.641720738325803
"51"	1.04346990650111	9.8786713127575
"52"	57.2635112833839	28.6346878296456
"53"	39.7623399427664	1.35713091979312
"54"	48.6992783128791	1.30772869105778
"56"	53.1096441401537	7.47312630276002
"59"	45.2434715043594	1.58265577726308
"61"	56.4489688272315	41.0342065248064
"62"	53.6033674656861	39.3554257631552
"67"	59.1104585704655	4.57532733127354
"68"	49.5211432580152	29.0650610566878
"74"	22.5807002660082	0.658056462954417
"76"	39.8440963712877	10.6828918433368
"84"	55.1504393732379	0.930165850698939
"85"	8.14097865764938	0.826690395209129
"86"	36.9207490606117	5.84299367319716
"87"	7.74724990140791	0.620602152583783
"88"	65.1924988748433	63.6712060558337
"89"	64.1531415425542	65.1322069291723
"90"	63.1716517297988	48.7107006009692
"91"	71.4139156001976	68.4959746852468
"92"	58.0562170589298	32.1157193428597
"93"	45.6665144259533	37.4893636958494
"94"	46.8424897974938	35.0430911611192
"97"	53.1101083683747	38.9677111732145
"99"	48.4164723405689	42.767886172313
"100"	57.450986241516	50.7835710471714
"101"	66.9990181577197	57.7186921947863
"103"	12.2317819723868	0
"104"	6.2328340898887	0
"105"	33.2619713072052	7.59169292739038
"106"	22.7572045450731	0
"107"	42.4596646619515	0
"108"	24.2751360667873	0
"109"	42.271053173472	35.4231617690817
"110"	1.33956461073775	0
"111"	26.6179406432874	27.2211344995643
"112"	40.5265039200926	8.71674119346058
"115"	41.6500030158262	0.38699090360762
