barcode	name	batch	condition	strain.int	Glucose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Pyruvate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylitol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Succinate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Lactate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glycerol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Formate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Acetate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Ethanol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Cellobiose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_yield.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Blank_glucose.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x
24	I0035430	20190916-f-48	20190916	f	48	0	0.239315727366667	0	0	0	0.143751165333333	0.321919319966667	0.827938081033333	2.92810729261333	0.898525630733333	0	22.4698008181333	100	7.81799455908352	22.4698008181333
25	I0035432	20191007-f-109	20191007	f	109	0	0	0	0	0	0	0.0332315974	0	0.11603090704	4.0030402673	0	22.0936135264	100	35.4231617690817	22.0936135264
26	I0035439	20190924-t-78	20190924	t	78	13.707266416	0	0	0	0	0.1290026672	0.3674805405	0.773860963	0	1.1057661509	0	6.981974688	33.7468863787862	30.9634352686161	20.689241104
27	I0035467	20191007-t-106	20191007	t	106	7.7838722528	0.0013676843	0	0	0.0707063875	0	0	0	0.22443391972	1.66566085	0	14.3097412736	64.7686774121448	22.7572045450731	22.0936135264
28	I0035495	20191007-t-107	20191007	t	107	0	0	0	0	0	0	0	0	0	4.7982093887	0	22.0936135264	100	42.4596646619515	22.0936135264
29	I0035501	20190930-f-83	20190930	f	83	1.79103121386667	0.194571983033333	0	0	0	0.1280676368	0.30242356	0	0.443979193053333	0.05293443	0	20.458600272	91.9502881878994	0.505855458224986	22.2496314858667
30	I0035509	20190930-t-100	20190930	t	100	0	0.262932177233333	0	0	0	0.168926423466667	0.436945562333333	0	0.0182449896266667	6.53816978476667	0	22.2496314858667	100	57.450986241516	22.2496314858667
31	I0035510	20190924-t-47	20190924	t	47	6.8907164416	0	0	0	0	0.1274370768	0.3022688488	0.7251432713	0.49296485084	0.125655925	0	13.7985246624	66.694203973157	1.78038707945036	20.689241104
32	I0035513	20190924-t-62	20190924	t	62	6.8466457024	0	0	0	0	0	0.8510184244	0	0	3.7952945128	0	13.8425954016	66.9072168090482	53.6033674656861	20.689241104
33	I0035516	NA	NA	NA	NA	0	0.2569234742	0	0	0	0.1276136336	0.2930589279	0.7195451027	1.77596558192	1.4827025983	0	11.5764708576	100	25.0404415255269	11.5764708576
34	I0035517	20190924-t-53	20190924	t	53	0.16727856	0.1748428993	0	0	0	0.12874684	0.3093634624	0	1.3530877304	4.1737526523	0	20.521962544	99.1914707786567	39.7623399427664	20.689241104
35	I0035519	20191014-t-121	20191014	t	121	0	0	0	0	0	0	0	0.0630951622	0	3.1052612777	0.015351998025	22.0103327648	100	27.5826288557977	22.0103327648
36	I0035520	NA-t-44	NA	t	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	I0035522	20190930-t-85	20190930	t	85	2.08066123413333	0	1.38879660826667	0	0	0.130667645866667	0.3189131954	0	0	0.839839361233333	0	20.1689702517333	90.6485586718369	8.14097865764938	22.2496314858667
38	I0035524	20191014-f-140	20191014	f	140	0	0	0	0	0	0	0.2097110316	0	0.24465648972	7.2351861569	0	22.0103327648	100	64.2668801822022	22.0103327648
39	I0035532	20200121-t-23	20200121	t	23	24.8212683552	0	0	0	0	0.1275208512	0.2939715398	0.7215455665	0	0.1170873657	0	-0.535421107200001	-2.20466307694534	-42.7541881176598	24.285847248
40	I0035533	20200121-f-23	20200121	f	23	23.5426584224	0	0	0	0	0.1282495984	0.2928379119	0.7206562669	0	0.1445335682	0	0.743188825600001	3.06017252768978	38.0218872758056	24.285847248
41	I0035539	20200106-f-2	20200106	f	2	12.2953506944	0	0	0	0	0	0.4097894492	0	0	0.0516868544	0	10.8192133376	46.8069106673255	0.934003566010799	23.114564032
42	I0035541	20191007-f-107	20191007	f	107	0	0	0	0	0	0	0.1461459091	0	0	0	0	22.0936135264	100	0	22.0936135264
43	I0035544	20190924-t-55	20190924	t	55	19.3445142528	0	0	0	0	0.127584808	0.2987362764	0.719025424	0	0.1529897167	0	1.3447268512	6.49964319348579	22.2429445952687	20.689241104
44	I0035569	20200309-t-210	20200309	t	210	22.5227150112	0.0189644216	0	0.02538403864	0.0019473041	0.0020835504	0	0	0.0052667248	0	0.022129468725	0.373534736	1.63142322486974	0	22.8962497472
45	I0035570	20191007-f-112	20191007	f	112	0	0	0	0	0	0	0	0	0.8418995394	0.9850466264	0	22.0936135264	100	8.71674119346058	22.0936135264
46	I0035571	20190930-f-98	20190930	f	98	14.2835370016	0	0	0	0	0.0451117637333333	0.589193354833333	0	0.0382390593466667	0.332981828233333	0	7.96609448426667	35.8032648285742	8.17220395373489	22.2496314858667
47	I0035577	20190924-f-72	20190924	f	72	8.1561188448	0	0	0.47907428188	0	0.1288738528	0.327628593	0.7299888494	0.26288573428	0.0453941531	0	12.5331222592	60.5779699516232	0.708116572177888	20.689241104
48	I0035578	20191014-f-132	20191014	f	132	0	0	0	0	0	0	0	0	0.89845070172	6.7280770817	0	22.0103327648	100	59.7624600514077	22.0103327648
49	I0035579	20191007-f-116	20191007	f	116	0	0	0	0	0	0	0	0	0.707435686	1.1890151016	0	22.0936135264	100	10.5216713990905	22.0936135264
