"barcode"	"name"	"batch"	"condition"	"strain.int"	"Glucose.Avg.g.L."	"Xylose.Avg.g.L."	"Pyruvate.Avg.g.L."	"Xylitol.Avg.g.L."	"Succinate.Avg.g.L."	"Lactate.Avg.g.L."	"Glycerol.Avg.g.L."	"Formate.Avg.g.L."	"Acetate.Avg.g.L."	"Ethanol.Avg.g.L."	"Cellobiose.Avg.g.L."	"Glucose_consumed"	"Percent_glucose_consumed"	"Percent_yield"	"Blank_glucose"
"101"	"I0035766"	"20200106-f-5"	20200106	"f"	5	21.6205854304	0	0	0	0	0	0.3284279342	0	0	0.0574621896	0	1.4939786016	6.46336482717877	7.51972416346839	23.114564032
"43"	"I0035544"	"20190924-t-55"	20190924	"t"	55	19.3445142528	0	0	0	0	0.127584808	0.2987362764	0.719025424	0	0.1529897167	0	1.3447268512	6.49964319348579	22.2429445952687	20.689241104
"621"	"I0043993"	"20191224-t-282"	20191224	"t"	282	20.8009168832	0	0	0	0	0	0.4655508651	0	0.03452479812	0.1423249724	0	1.519190192	6.80637501819147	18.3161029899849	22.3201070752
"537"	"I0043849"	"NA-f-318"	NA	"f"	318	21.8878617984	0	0	0	0	0	0.3023066057	0.7195414203	0	0.1669659726	0	1.6494386656	7.00776483744513	19.7904612919248	23.537300464
"126"	"I0035877"	"20191014-t-142"	20191014	"t"	142	20.176902096	0.0087570829	0	0	0	0	0	0	0	0.1569577258	0	1.8334306688	8.32986347090633	16.7371813662403	22.0103327648
"459"	"I0043671"	"20191216-f-288"	20191216	"f"	288	21.5303829216	0	0	0	0	0.1274154576	0.3911624049	0.7209098922	0	0.519149009	0	2.0290574048	8.61250257514097	50.0220875323817	23.5594403264
"141"	"I0036968"	"20191014-t-95"	20191014	"t"	95	20.1072288192	0	0	0	0	0	0.0705786969	0	0	0.1239941801	0	1.9031039456	8.64641151015917	12.7380487913597	22.0103327648
"644"	"I0044046"	"20191216-f-287"	20191216	"f"	287	21.4791580288	0	0	0	0	0.1277298368	0.2976376427	0.7193932037	0.23721104132	0.1705750964	0	2.0802822976	8.82993088451638	16.0308838865834	23.5594403264
"143"	"I0036975"	"20200106-f-3"	20200106	"f"	3	21.0301560704	0	0	0	0	0.129629624	0.2930248546	0	0	0.0555184963	0	2.0844079616	9.01772561539265	5.20737780936633	23.114564032
"91"	"I0035728"	"20200106-f-7"	20200106	"f"	7	20.7354899776	0	0	0	0	0.1274613984	0.3467971265	0	0	0.0555392278	0	2.3790740544	10.2925326694736	4.56410884521863	23.114564032
